sku,ean,brand,title,category,market
AP19993,"8,02586E+12",Fantini Cosmi,Fantini Cosmi ECOCOMFORT PLUS AP19993 160mm,,IT
110.791.00.1,"4,02542E+12",Geberit,Geberit Sigma 8 Cassetta di Scarico da Incasso WC Combifix Italia con collegamen,,IT
AP19990,"8,0248E+12",Fantini Cosmi,Fantini Cosmi Aspirvelo Air Rhinocomfort 160 RF Master | AP19990,,IT
AP19991,"8,0248E+12",Fantini Cosmi,Fantini Cosmi Aspirvelo Air Rhinocomfort 160 RF Slave | AP19991,,IT
AP19992,"8,0248E+12",Fantini Cosmi,Fantini Cosmi Aspirvelo Air ECOCOMFORT 2.0 Smart | AP19992,,IT
AP19989,"8,02586E+12",Fantini Cosmi,Fantini Cosmi ECOCOMFORT PLUS AP19989 100mm,,IT
AP19996,"8,02586E+12",Fantini Cosmi,Fantini Cosmi ECOCOMFORT 3 AP19996 WiFi VMC Puntuale con Recupero di Calore,,IT
AP19997,"8,02586E+12",Fantini Cosmi,Fantini Cosmi RHINOCOMFORT 3 AP19997 WiFi VMC Puntuale con Sanificazione e Recup,,IT
0000.012.443,"8,0103E+12",Vortice,Vortice Vort HRW 30 MONO EVO WiFi Recuperatore di Calore | 12443,,IT
0000.012.444,"8,0103E+12",Vortice,Vortice Vort HRW 40 MONO EVO WiFi Recuperatore di Calore | 12444,,IT
0000.012.432,"8,0103E+12",Vortice,Vortice Vort HRW 60 MONO EVO WiFi Recuperatore di Calore | 12432,,IT
115.788.21.2,"4,02542E+12",Geberit,Placca Geberit Sigma50 Square Cromato Lucido / Cromo Doppio Tasto | 115.788.21.2,,IT
115.081.GH.1,"4,02542E+12",Geberit,Placca Geberit Omega60 Square Cromo Spazzolato / Cromato Lucido | 115.081.GH.1,,IT
115.628.FW.1,"4,06475E+12",Geberit,Placca Geberit Sigma40 Round Acciaio Inox Spazzolato Doppio Tasto | 115.628.FW.1,,IT
115.629.SJ.1,"4,06475E+12",Geberit,Placca Geberit Sigma40 Square Vetro Nero Doppio Tasto | 115.629.SJ.1,,IT
115.629.SI.1,"4,06475E+12",Geberit,Placca Geberit Sigma40 Square Vetro Bianco Doppio Tasto | 115.629.SI.1,,IT
109.790.00.1,"4,02542E+12",Geberit,Geberit Sigma 8 Cassetta di Scarico WC da Incasso | 109.790.00.1,,IT
115.085.KH.1,"4,02542E+12",Geberit,Placca Geberit Omega20 Round Cromato Lucido / Cromosatinato Doppio Tasto | 115.0,,IT
115.085.KJ.1,"4,02542E+12",Geberit,Placca Geberit Omega20 Round Bianco / Cromato Lucido Doppio Tasto | 115.085.KJ.1,,IT
115.758.KJ.5,"4,02542E+12",Geberit,Placca Geberit Sigma10 Round Bianco / Cromato Lucido | 115.758.KJ.5,,IT
115.768.11.1,"4,02542E+12",Geberit,Placca di Copertura Cieca Geberit Sigma Bianca | 115.768.11.1,,IT
115.770.11.5,"4,02541E+12",Geberit,Placca Geberit Sigma01 Round Bianco Doppio Tasto | 115.770.11.5,,IT
115.882.KH.1,"4,02542E+12",Geberit,Placca Geberit Sigma20 Round Cromato Lucido / Cromosatinato Doppio Tasto | 115.8,,IT
115.882.KJ.1,"4,02542E+12",Geberit,Placca Geberit Sigma20 Round Bianco / Cromato Lucido Doppio Tasto | 115.882.KJ.1,,IT
115.883.KH.1,"4,02542E+12",Geberit,Placca Geberit Sigma20 Square Cromato lucido / Cromosatinato Doppio Tasto (ex Si,,IT
