sku,ean,brand,title,category,market
AP19993,8025863058632,Fantini Cosmi,Fantini Cosmi ECOCOMFORT PLUS AP19993 160mm,VMC puntuale / Ventilazione,IT
110.791.00.1,,Geberit,Geberit Sigma 8 Cassetta di Scarico da Incasso WC Combifix Italia con collegamen,Cassetta di scarico a incasso,IT
AP19990,8024800500487,Fantini Cosmi,Fantini Cosmi Aspirvelo Air Rhinocomfort 160 RF Master | AP19990,VMC puntuale / Ventilazione,IT
AP19991,8024800500494,Fantini Cosmi,Fantini Cosmi Aspirvelo Air Rhinocomfort 160 RF Slave | AP19991,VMC puntuale / Ventilazione,IT
AP19992,8024800500548,Fantini Cosmi,Fantini Cosmi Aspirvelo Air ECOCOMFORT 2.0 Smart | AP19992,VMC puntuale / Ventilazione,IT
AP19989,8025863058649,Fantini Cosmi,Fantini Cosmi ECOCOMFORT PLUS AP19989 100mm,VMC puntuale / Ventilazione,IT
AP19996,,Fantini Cosmi,Fantini Cosmi ECOCOMFORT 3 AP19996 WiFi VMC Puntuale con Recupero di Calore,VMC puntuale / Ventilazione,IT
AP19997,8025863059615,Fantini Cosmi,Fantini Cosmi RHINOCOMFORT 3 AP19997 WiFi VMC Puntuale con Sanificazione e Recup,VMC puntuale / Ventilazione,IT
0000.012.443,,Vortice,Vortice Vort HRW 30 MONO EVO WiFi Recuperatore di Calore | 12443,Recuperatore di calore / VMC,IT
0000.012.444,8010300124445,Vortice,Vortice Vort HRW 40 MONO EVO WiFi Recuperatore di Calore | 12444,Recuperatore di calore / VMC,IT
0000.012.432,8010300124322,Vortice,Vortice Vort HRW 60 MONO EVO WiFi Recuperatore di Calore | 12432,Recuperatore di calore / VMC,IT
115.788.21.2,,Geberit,Placca Geberit Sigma50 Square Cromato Lucido / Cromo Doppio Tasto | 115.788.21.2,Placca di comando WC,IT
115.081.GH.1,4025416301301,Geberit,Placca Geberit Omega60 Square Cromo Spazzolato / Cromato Lucido | 115.081.GH.1,Placca di comando WC,IT
115.628.FW.1,4064746006685,Geberit,Placca Geberit Sigma40 Round Acciaio Inox Spazzolato Doppio Tasto | 115.628.FW.1,Placca di comando WC,IT
115.629.SJ.1,4064746007026,Geberit,Placca Geberit Sigma40 Square Vetro Nero Doppio Tasto | 115.629.SJ.1,Placca di comando WC,IT
115.629.SI.1,4064746007002,Geberit,Placca Geberit Sigma40 Square Vetro Bianco Doppio Tasto | 115.629.SI.1,Placca di comando WC,IT
109.790.00.1,4025416351931,Geberit,Geberit Sigma 8 Cassetta di Scarico WC da Incasso | 109.790.00.1,Cassetta di scarico a incasso,IT
115.085.KH.1,4025416310648,Geberit,Placca Geberit Omega20 Round Cromato Lucido / Cromosatinato Doppio Tasto | 115.0,Placca di comando WC,IT
115.085.KJ.1,4025416310679,Geberit,Placca Geberit Omega20 Round Bianco / Cromato Lucido Doppio Tasto | 115.085.KJ.1,Placca di comando WC,IT
115.758.KJ.5,4025416197898,Geberit,Placca Geberit Sigma10 Round Bianco / Cromato Lucido | 115.758.KJ.5,Placca di comando WC,IT
115.768.11.1,,Geberit,Placca di Copertura Cieca Geberit Sigma Bianca | 115.768.11.1,Placca di comando WC,IT
115.770.11.5,,Geberit,Placca Geberit Sigma01 Round Bianco Doppio Tasto | 115.770.11.5,Placca di comando WC,IT
115.882.KH.1,4025416544555,Geberit,Placca Geberit Sigma20 Round Cromato Lucido / Cromosatinato Doppio Tasto | 115.8,Placca di comando WC,IT
115.882.KJ.1,4025416544562,Geberit,Placca Geberit Sigma20 Round Bianco / Cromato Lucido Doppio Tasto | 115.882.KJ.1,Placca di comando WC,IT
115.883.KH.1,,Geberit,Placca Geberit Sigma20 Square Cromato lucido / Cromosatinato Doppio Tasto (ex Si,Placca di comando WC,IT
