product_id;title;brand;ean;sku;price;currency;shipping;url;availability;seller;source;scraped_at
fantini-ecocomfort-plus-160-ap19993;Fantini Cosmi ECOCOMFORT PLUS AP19993 160mm;Fantini Cosmi;;AP19993;239,00;EUR;0,00;https://www.complementiclimatici.it/prezzo/fantini-cosmi-ecocomfort-plus-160mm-ap19993/;in_stock;Complementi Climatici;organic;2026-06-15
idrovip-ap19993;Fantini Cosmi ECOCOMFORT PLUS 160 unita di ventilazione puntuale con recupero di calore AP19993;Fantini Cosmi;;AP19993;340,00;EUR;;https://idrovip.it/prodotto/fantini-cosmi-ecocomfort-plus-160-ap19993/;in_stock;Idrovip;organic;2026-06-15
rhinocomfort-160-rf-master-ap19990;Fantini Cosmi Aspirvelo Air Rhinocomfort 160 RF Master;Fantini Cosmi;;AP19990;349,00;EUR;0,00;https://www.complementiclimatici.it/prezzo/aspira-fantini-cosmi-ap19990-aspirvelo-air-rhinocomfort-160-rf/;out_of_stock;Complementi Climatici;organic;2026-06-15
grassiasrl-ap19990;RHINOCOMFORT 160 RF Fantini Cosmi AP19990;Fantini Cosmi;8024800500487;AP19990;358,00;EUR;;https://www.grassiasrl.com/shop/rhinocomfort-fantini-cosmi-ap19990/;out_of_stock;Grassia Srl;organic;2026-06-15
etaweb-5067-ap19990;Aspirvelo RHINOCOMFORT 160 RF Master - Recupero di calore e sanitificazione aria;Fantini Cosmi;8024800500487;AP19990;380,99;EUR;;https://etaweb.eu/recuperatori-di-calore-best-sellers/5067-aspirvelo-rhinocomfort-160-rf-master.html;out_of_stock;etaweb.eu;organic;2026-06-15
rhinocomfort-160-rf-slave-ap19991;Fantini Cosmi Aspirvelo Air Rhinocomfort 160 RF Slave;Fantini Cosmi;;AP19991;329,90;EUR;0,00;https://www.complementiclimatici.it/prezzo/aspira-fantini-cosmi-slave-ap19991-aspirvelo-air-rhinocomfort-160-rf/;unknown;Complementi Climatici;organic;2026-06-15
grassiasrl-ap19991;RHINOCOMFORT SAT 160 RF Fantini Cosmi AP19991;Fantini Cosmi;8024800500494;AP19991;313,00;EUR;0,00;https://www.grassiasrl.com/shop/rhinocomfort-fantini-cosmi-ap19991/;out_of_stock;Grassia Srl;organic;2026-06-15
ecocomfort-2-0-smart-ap19992;Fantini Cosmi Aspirvelo Air ECOCOMFORT 2.0 Smart;Fantini Cosmi;;AP19992;345,00;EUR;;https://www.complementiclimatici.it/prezzo/fantinicosmi-ecocomfort-ap19992/;out_of_stock;Complementi Climatici;organic;2026-06-15
idrovip-ap19992;Fantini Cosmi Aspirvelo AIR ECOCOMFORT 2.0 SMART unita di ventilazione e aspirazione con recupero di calore AP19992;Fantini Cosmi;8024800500548;AP19992;330,00;EUR;;https://idrovip.it/prodotto/aspirvelo-air-ecocomfort-2-0-smart-fantini-cosmi/;out_of_stock;Idrovip;organic;2026-06-15
ecocomfort-plus-100-ap19989;Fantini Cosmi ECOCOMFORT PLUS AP19989 100mm;Fantini Cosmi;;AP19989;235,00;EUR;0,00;https://www.complementiclimatici.it/prezzo/fantini-cosmi-ecocomfort-plus-100mm-ap19989/;in_stock;Complementi Climatici;organic;2026-06-15
